threshold,precision,recall,f1,fpr,tn,fp,fn,tp
0.05,0.06395348837209303,1.0,0.12021857923497267,1.0,0,161,0,11
0.1,0.06470588235294118,1.0,0.12154696132596685,0.9875776397515528,2,159,0,11
0.15,0.06547619047619048,1.0,0.12290502793296089,0.9751552795031055,4,157,0,11
0.2,0.0658682634730539,1.0,0.12359550561797752,0.968944099378882,5,156,0,11
0.25,0.058823529411764705,0.7272727272727273,0.10884353741496598,0.7950310559006211,33,128,3,8
0.3,0.07339449541284404,0.7272727272727273,0.13333333333333333,0.6273291925465838,60,101,3,8
0.35,0.0821917808219178,0.5454545454545454,0.14285714285714285,0.4161490683229814,94,67,5,6
0.39999999999999997,0.12244897959183673,0.5454545454545454,0.2,0.2670807453416149,118,43,5,6
0.44999999999999996,0.125,0.45454545454545453,0.19607843137254902,0.21739130434782608,126,35,6,5
0.49999999999999994,0.16666666666666666,0.45454545454545453,0.24390243902439024,0.15527950310559005,136,25,6,5
0.5499999999999999,0.2,0.45454545454545453,0.2777777777777778,0.12422360248447205,141,20,6,5
0.6,0.17391304347826086,0.36363636363636365,0.23529411764705882,0.11801242236024845,142,19,7,4
0.65,0.11764705882352941,0.18181818181818182,0.14285714285714285,0.09316770186335403,146,15,9,2
0.7,0.14285714285714285,0.18181818181818182,0.16,0.07453416149068323,149,12,9,2
0.75,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.055900621118012424,152,9,9,2
0.7999999999999999,0.1111111111111111,0.09090909090909091,0.1,0.049689440993788817,153,8,10,1
0.85,0.25,0.09090909090909091,0.13333333333333333,0.018633540372670808,158,3,10,1
0.9,1.0,0.09090909090909091,0.16666666666666666,0.0,161,0,10,1
0.95,0.0,0.0,0.0,0.0,161,0,11,0
